measurementID,eventID,measurementType,measurementValue,measurementUnit,measurementMethod,measurementDeterminedDate,measurementRemarks
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20100323 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20100323,abundance,9,number of individuals,direct count in quadrats of 50 x 50 cm,20100323,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20100323 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20100323,abundance,16,number of individuals,direct count in quadrats of 50 x 50 cm,20100323,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20100323 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20100323,abundance,8,number of individuals,direct count in quadrats of 50 x 50 cm,20100323,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20100323 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20100323,abundance,21,number of individuals,direct count in quadrats of 50 x 50 cm,20100323,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20110208 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20110208,abundance,30,number of individuals,direct count in quadrats of 50 x 50 cm,20110208,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20110208 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20110208,abundance,20,number of individuals,direct count in quadrats of 50 x 50 cm,20110208,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20110208 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20110208,abundance,21,number of individuals,direct count in quadrats of 50 x 50 cm,20110208,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20110208 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20110208,abundance,16,number of individuals,direct count in quadrats of 50 x 50 cm,20110208,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20120121 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20120121,abundance,17,number of individuals,direct count in quadrats of 50 x 50 cm,20120121,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20120121 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20120121,abundance,19,number of individuals,direct count in quadrats of 50 x 50 cm,20120121,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20120121 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20120121,abundance,17,number of individuals,direct count in quadrats of 50 x 50 cm,20120121,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20120121 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20120121,abundance,23,number of individuals,direct count in quadrats of 50 x 50 cm,20120121,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20130116 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20130116,abundance,28,number of individuals,direct count in quadrats of 50 x 50 cm,20130116,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20130116 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20130116,abundance,42,number of individuals,direct count in quadrats of 50 x 50 cm,20130116,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20130116 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20130116,abundance,30,number of individuals,direct count in quadrats of 50 x 50 cm,20130116,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20130116 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20130116,abundance,39,number of individuals,direct count in quadrats of 50 x 50 cm,20130116,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20140115 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20140115,abundance,36,number of individuals,direct count in quadrats of 50 x 50 cm,20140115,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20140115 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20140115,abundance,24,number of individuals,direct count in quadrats of 50 x 50 cm,20140115,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20140115 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20140115,abundance,40,number of individuals,direct count in quadrats of 50 x 50 cm,20140115,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20140115 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20140115,abundance,27,number of individuals,direct count in quadrats of 50 x 50 cm,20140115,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20150123 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20150123,abundance,14,number of individuals,direct count in quadrats of 50 x 50 cm,20150123,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20150123 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20150123,abundance,32,number of individuals,direct count in quadrats of 50 x 50 cm,20150123,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20150123 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20150123,abundance,26,number of individuals,direct count in quadrats of 50 x 50 cm,20150123,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20150123 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20150123,abundance,32,number of individuals,direct count in quadrats of 50 x 50 cm,20150123,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20151215 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20151215,abundance,21,number of individuals,direct count in quadrats of 50 x 50 cm,20151215,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20151215 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20151215,abundance,20,number of individuals,direct count in quadrats of 50 x 50 cm,20151215,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20151215 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20151215,abundance,24,number of individuals,direct count in quadrats of 50 x 50 cm,20151215,https://vocabs.lter-europe.net/envthes/en/page/21541
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20151215 A01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20151215,abundance,24,number of individuals,direct count in quadrats of 50 x 50 cm,20151215,https://vocabs.lter-europe.net/envthes/en/page/21541
